BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
13-39230,ENSA de Grenoble,None,"Marie Wozniak, directrice",,,60 avenue de ConstantineCS12636,38036,Grenoble cedex 2,,,,,,http://www.grenoble.archi.fr,http://www.grenoble.archi.fr,,,,,False,False,,False,False
14-40120,VAL-ECO Syndicat mixte de collecte,None,M. le Président,,,5 rue de la Vallée Maillard,41000,Blois,,02-54-74-62-53,,02-54-74-62-26,val-eco41@wanadoo.fr,http://www.valeco41.fr,http://www.marches-valeco.com,,,,,False,False,,False,False
16-100152,Cté de Cnes du Pays de Montfort,None,"M. le Président, Christophe Martins -",,,- Montfort Communauté -4 Place du Tribunal -CS 30150 -,35160,Montfort sur Meu cedex,,02-99-09-88-10,,02-99-09-88-16,commandepublique@montfortcommunaute.bzh-,http://www.montfortcommunaute.bzh,http://www.e-megalisbretagne.org,,,,,False,False,,False,False
16-109613,CNRS Délégation Côte d'Azur,None,,Pôle achats,FRL03,"250, RUE ALBERT EINSTEIN - CS 10269",06905,SOPHIA ANTIPOLIS CEDEX,,(+33) 4-93-95-42-22,,(+33) 4-92-96-03-39,dr20.liste.marches@cnrs.fr,http://www.cote-azur.cnrs.fr,https://www.marches-publics.gouv.fr,,https://www.marches-publics.gouv.fr,https://www.marches-publics.gouv.fr,,False,True,,False,True
16-15326,Métropole de Lyon,None,Mr le Président,,,20 rue du LacCS 33569,69505,Lyon cedex 03,,,,(+33)4-26-99-30-64,,http://marchespublics.grandlyon.com,,,,,,False,False,,False,False
17-104153,Cté de com de la Vallée de la Bruche,None,"Monsieur Eric MUZIOTTI, Secrétaire général",,,114 Grand rue,67130,Schirmeck,,,,,,,,,,,,False,False,,False,False
17-113508,SPLA Maraïna,None,,à l'attention de la Présidente Directrice Générale,FRY40,"38 rue Colbert,",97460,Saint-Paul,,(+33) 2-62-91-91-60,,(+33) 2-62-91-91-69,marches@spl-maraina.com,http://spl-maraina.com.,https://spl-maraina.achatpublic.com,,https://spl-maraina.achatpublic.com,https://spl-maraina.achatpublic.com,,False,True,,False,True
17-123447,Centre Communal d'Action Sociale,None,M. Van Hove,,,26 rue de la bienfaisance,59200,tourcoing,,03-20-11-34-93,,,laurent.vanhove@ccas-tourcoing.fr,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2018_btl13MNMjd,,,,,,False,False,,False,False
17-143495,DREAL MP,None,JJ Delibes,,,1 Rue de la cité administrativeCS 80002,31074,Toulouse cédex 9,,,,,srnoh.dreal-midi-pyrenees@developpement-durable.gouv.fr,,http://marches.publics.gouv.fr,,,,,False,False,,False,False
17-156230,Métropole du Grand Nancy,None,M. Le Président,,,"22/24, viaduc Kennedy C.O. N° 80036",54035,Nancy Cedex,,,,,marches@grandnancy.eu,https://marchespublics.grand-nancy.org,,,,,,False,False,,False,False
17-156884,Dir Massif Central,None,M. le Directeur Interdépartemental des Routes Massif Central,,,Direction Interdépartemental des Routes du Massif Central60 Avenue de l'Union Soviétique BP90 447,63000,Clermont-Ferrand,,04-73-29-79-20,,,bas.dpee.dirmc@developpement-durable.gouv.fr,http://www.dir.massif-central.developpement-durable.gouv.fr/,http://www.marches-publics.gouv.fr/,,,,,False,False,,False,False
17-164833,Centre Hospitalier Intercommunal,None,,"Monsieur le Directeur du GHT 10, pour le compte du Centre Hospitalier Intercommunal de la Lauter",FR,24 route de Weiler,67160,Wissembourg,,,,,serv.eco@ch-wissembourg.fr,http://www.ch-wissembourg.fr,http://www.marches-securises.fr,,http://www.marches-securises.fr,http://www.marches-securises.fr,http://www.marches-securises.fr,False,True,,False,True
17-177338,Comité de Gestion du CHC,None,C.G.O.S.H,,,6 Rue des KOUYOUS,97300,CAYENNE,,05-94-31-10-08,,05-94-31-55-51,marches.cgoshguyane@orange.fr,,,,,,,False,False,,False,False
