BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
16-108903,Ville de Noisiel,None,"Monsieur le Maire, Mathieu VISKOVIC",,,26 place Emile Menier BP 35,77186,Noisiel,,(+33)1-60-37-74-18,,(+33)1-60-37-73-49,marches@mairie-noisiel.fr,,http://ville-noisiel.e-marchespublics.com,,,,,False,False,,False,False
16-161210,Communauté de Communes du Pays Rhénan,None,,emmanuel.perrin@cc-paysrhenan.fr,FR,"32, rue du Général de Gaulle",67410,Drusenheim,,(+33) -03-88-06-74-30,,,contact@cc-paysrhenan.fr,http://www.cc-paysrhenan.fr,http://www.marches-securises.fr,,https://www.marches-securises.fr,https://www.marches-securises.fr,,False,False,,False,False
17-118450,Ville de Tassin La Demi Lune,None,"M. Pascal CHARMOT, Maire",,,Place Hippolyte Péragut - BP58,69812,Tassin la demi-lune,,04-72-59-22-11,,04-72-59-22-12,marchespublics@villetassinlademilune.fr,http://www.tassinlademilune.fr,https://www.marches-publics.info,,,,,False,False,,False,False
17-131459,Ville d'Issoire,None,,Direction de la Commande Publique - service des marchés publics,FRK14,"2 rue Eugène Gauttier, B.P.2",63500,Issoire,,(+33) 4-73-89-03-54,,(+33) 4-73-89-41-05,lgrandeur@issoire.fr,http://www.issoire.fr,http://agysoft.marches-publics.info/,,,http://agysoft.marches-publics.info/,,False,False,,False,False
17-133669,Ville d'Hazebrouck,None,,Madame Anna SLOWINSKI,FRE11,MairieB.P. 70189,59524,Hazebrouck cedex,,(+33) 3-28-43-44-40,,,marchespublicsctm@ville-hazebrouck.fr,http://www.ville-hazebrouck.fr,http://www.marches-securises.fr,,http://www.marches-securises.fr,http://www.marches-securises.fr,,True,False,,False,True
17-146610,Métropole de Lyon,None,Monsieur le Vice-Président en charge du patrimoine et des moyens généraux,,,Délégation aux ressourcesdirection du patrimoine et des moyens générauxunité procédures achats - marchésCS 33569,69505,Lyon cedex 03,,,,04-26-99-30-45,dpmg.marches@grandlyon.com,http://grandlyon.com,http://marchespublics.grandlyon.com,,,,,False,False,,False,False
17-146662,Centre hospitalier W. Morey,None,Mme la directrice du centre hospitalier,,,4 rue Capitaine DrillienCS 80120,71321,Chalon sur Saône,,(+33)3-85-91-01-87,,(+33)3-85-91-01-82,cellule.marches@ch-chalon71.fr,http://www.ch-chalon71.fr,http://marches.e-bourgogne.fr,,,,,False,False,,False,False
17-157423,FDE 80 FEDE DEP D ENERGIE DE LA SOMME,None,Jean-Claude MORGAND,,,3 rue César CascabelPôle Jules Verne 2,80440,Boves,,03-22-95-82-62,,03-22-95-82-52,fde80@fde-somme.fr,http://www.fde-somme.fr,https://marchespublics596280.fr,,,,,False,False,,False,False
17-160024,TOULOUSE METROPOLE HABITAT,None,,Mr Luc LAVENTURE,FRJ,7 rue Sebastopol,31000,Toulouse,,,,,marches@habitatoulouse.fr,http://www.toulouse-metropole-habitat.fr,https://marches-habitatoulouse.local-trust.com,,https://marches-habitatoulouse.local-trust.com,https://marches-habitatoulouse.local-trust.com,,False,True,,False,True
17-162807,Région Hauts-de-France,None,,,FR,"151, Avenue du Président Hoover",59555,LILLE,,,,,contactachatpublic@hautsdefrance.fr,https://marchespublics.hautsdefrance.fr,http://marchespublics.hautsdefrance.fr,,,,,False,True,,False,True
