BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
15-172113,Ville de Noisiel,None,Monsieur le Maire,,,26 place Emile MenierBP 35,77186,Noisiel,,01-60-37-74-18,,01-60-37-73-49,marches@mairie-noisiel.fr,,http://ville-noisiel.e-marchespublics.com,,,,,False,False,,False,False
17-103575,Commune de Saint-Louis,None,,,FRY40,125 avenue du Dr Raymond VERGES,97450,Saint-Louis,,(+33) -02-62-91-94-66,,(+33) -02-62-57-64-49,commandepublique@mairie-saint-louis.re,http://saintlouis.re,http://marchespublics-saintlouis.omnikles.com,,,https://marchespublics-saintlouis.omnikles.com,,False,True,,False,True
17-110625,Syndicat Mixte PACA TRES HAUT DEBIT,None,,,FRL04,", Domaine du Petit Arbois-Av Louis Philibert-Bât G.Mégie-4e étage,",13547,Aix en Provence Cedex,,,,,marches@paca-thd.net,http://www.paca-thd.net,http://www.marches-securises.fr,,,,,False,True,,False,True
17-114171,SICTOM Loir et Sarthe,None,M. le Président,,,103 rue Charles Darwin,49125,Tiercé,,02-41-37-56-89,82,02-41-37-56-88,sictom@loir-sarthe.fr,http://ada.doubletrade.net,,,,,,False,False,,False,False
17-123822,Région Guadeloupe,None,Monsieur le président du conseil régional,,,Avenue Paul Lacavé Petit Paris,97100,Base-Terre,,,,05-90-80-41-59,dmp-region@cr.guadeloupe.fr,http://www.regionguadeloupe.fr,http://www.eguadeloupe.com,,,,,False,False,,False,False
17-132066,Créteil-Habitat-SEMIC,None,M le Directeur Général,,,7 rue des Ecoles,94048,Créteil cédex,,01-45-17-40-00,,01-45-17-40-99,service.marche@creteil-habitat.com,http://www.creteil-habitat.com,http://www.creteil-habitat-marches.com,,,,,False,False,,False,False
17-13241,Tunnel Euralpin Lyon Turin SAS,None,,,FRK27,Savoie Technolac - Bâtiment Homère - 13 allée du Lac de Constance -CS 90281,73375,Le Bourget-du-Lac,,,,,fonction.contrats@telt-sas.com,http://www.telt-sas.com,https://marches.telt-sas.com,,https://marches.telt-sas.com,http://fonction.contrats@telt-sas.com,,False,True,,False,True
17-132467,Département d'Ille et Vilaine PRIE,None,Anne-Marie Roussel,,,"Pôle dynamiques territorialesDirection de l'éco-développement1, avenue de la préfecture",35042,Rennes cedex,,02-99-02-36-50,,,daemarchespublics@ille-et-vilaine.fr,,http://marches.e-megalisbretagne.org,,,,,False,False,,False,False
17-137107,Créteil-Habitat-SEMIC,None,M le Directeur Général,,,7 rue des Ecoles,94048,Créteil,,01-45-17-40-00,,01-45-17-40-99,service.marche@creteil-habitat.com,http://www.creteil-habitat.com,http://www.creteil-habitat-marches.com,,,,,False,False,,False,False
17-138167,COMMUNE SAINT MAMMES,None,Nathalie LAURENT,,,2 Rue Grande BP 30,77814,Moret Sur Loing cedex,,01-64-23-39-41,,01-64-23-39-45,direction@saint-mammes.com,,,,,,,False,False,,False,False
17-139580,Créteil-Habitat-SEMIC,None,M le Directeur Général,,,7 rue des Ecoles,94048,Créteil cédex,,01-45-17-40-00,,01-45-17-40-99,service.marche@creteil-habitat.com,http://www.creteil-habitat.com,http://www.creteil-habitat-marches.com,,,,,False,False,,False,False
17-139679,Ville de Bassan,None,Alain BIOLA,,,17 Chemin Neuf,34290,Bassan,,04-67-36-10-67,,,contact@bassan.fr,,,,,,,False,False,,False,False
17-143585,Syndicat des Transports Ile-de-France,28750007800012,,"Mr. Laurent PROBST, Directeur Général du STIF - DGA Finances et Ressources /FAC - marchés publics ( Madame Ariana GRUNBAUM)",FR1,39 bis - 41 rue de Châteaudun,75009,Paris,,(+33) 1-53-59-21-46,,,marches.publics@iledefrance-mobilites.fr,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2017_8epHZoh_yl,http://www.achatpublic.com,,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2017_8epHZoh_yl,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2017_8epHZoh_yl,,False,True,,False,True
17-144389,Université Lumière Lyon 2 - DAJIM,None,,"Direction des affaires juridiques, institutionnelles et des marchés",FRK26,18 quai Claude Bernard,69365,Lyon cedex 07,,(+33) -78-69-74-84,,(+33) -78-69-74-21,marchespublics@listes.univ-lyon2.fr,http://www.univ-lyon2.fr/universite/marches-publics/,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=382711&amp;orgAcronyme=f2h,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=382711&amp;orgAcronyme=f2h,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=382711&amp;orgAcronyme=f2h,,False,True,,False,True
17-150393,MINARM/TERRE/SIMMT,None,M. le sous-directeur des contrats de la SIMMT,Mme NERAUD Angélique,,Etablissement Ingénieur Général JAYAT - CS 30704,78013,Versailles,,(+33) -01-39-67-27-24,,(+33) -01-39-67-28-03,simmt-sdc-berc.cmf.agt.fct@intradef.gouv.fr,,http://www.marches-publics.gouv.fr,,http://www.marches-publics.gouv.fr,,,False,False,,False,False
17-157627,FDE 80 FEDE DEP D ENERGIE DE LA SOMME,None,,Jean-Claude MORGAND,FRE23,3 rue César Cascabel - Pôle Jules Verne 2,80440,Boves,,(+33) 3-22-95-82-62,,(+33) 3-22-95-82-52,fde80@fde-somme.fr,http://www.fde-somme.fr,https://marchespublics596280.fr,,,,,False,True,,False,True
17-159055,Ville de Toulon,None,,Direction de la Commande Publique,FRL05,"A l'attention de Monsieur le Maire, Ancien MinistreAvenue de la République",83056,Toulon,,(+33) 4-94-36-86-39,,(+33) 4-94-36-31-22,marchespublics@mairie-toulon.fr,http://www.toulon.fr/marches-publics,http://www.achatpublic.com,,,,,True,False,,False,True
17-160847,Ville de Pontarlier,None,Monsieur le Maire,,,56 rue de la RépubliqueBP 259,25304,Pontarlier,,03-81-38-81-38,,03-81-39-87-16,ccgpmarchespublics@grandpontarlier.fr,http://www.ville-pontarlier.fr,http://pont.marcoweb.fr,,,,,False,False,,False,False
17-161637,APIJ,None,,,FR1,30 rue du château des rentiers,75013,paris,,(+33) 1-53-94-88-27,,,equipe9@apij-justice.fr,http://www.apij.justice.fr,http://www.achatpublic.com,,,https://www.achatpublic.com/,,False,True,,False,True
17-162660,Ville de Saumur,None,Loïc LE GOFF,,,CS 54030,49408,Saumur cedex,,02-41-40-45-65,,,commandes.publiques@agglo-saumur.fr,http://www.ville-saumur.fr,http://www.synapse-ouest.com,,,,,False,False,,False,False
17-31566,INRAP,None,Mme Kolomian,,,121 rue d'Alésia,75014,Paris,,(+33)1-40-08-80-45,0140088000,,service-marches-publics@inrap.fr,http://www.inrap.fr,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
17-36577,DSNA,None,Mme S. ROSPIDE,,,Direction de la Technique et de l'Innovation 1 avenue du docteur Maurice Grynfogel - B.P. 53584,31035,Toulouse Cedex,,(+33)5-62-14-52-00,,(+33)5-62-14-52-94,,,http://www.marches-publics.gouv.f,,,,,False,False,,False,False
17-55221,APIJ,None,"Mme la directrice générale de l'APIJ, à l'attention de l'équipe 9",,,30 rue du château des rentiers,75013,Paris,,01-53-94-88-27,,,equipe9@apij-justice.fr,http://www.apij.justice.fr,http://www.achatpublic.com,,,,,False,False,,False,False
