BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
11-240993,Ville de Parempuyre,None,Le Maire,,,"1, avenue Durand Dassier",33290,Parempuyre,,,,,,,,,,,,False,False,,False,False
16-137965,SIMOUV,None,,,FRE1,Rue du Président Lécuyer,None,saint-saulve,,,,,marche@simouv.fr,http://www.siturv.fr,https://marches.rvvn.org/,,https://marches.rvvn.org/,https://marches.rvvn.org/,,False,True,,False,True
16-90686,Montpellier Méditerranée Métropole,None,,,FRJ1,,None,Montpellier,,,,,marches-publics@montpellier3m.fr,http://www.marches.montpellier3m.fr,,,,,,False,True,,False,True
17-102601,Créteil-Habitat-SEMIC,None,,,FR107,"7, rue des Ecoles",94000,Créteil,,(+33) 1-01-45-17-40-00,,(+33) 1-01-45-17-40-99,service.marche@creteil-habitat-marches.com,http://www.creteil-habitat.com,http://www.creteil-habitat-marches.com,,http://www.creteil-habitat-marches.com,http://www.creteil-habitat-marches.com,,False,True,,False,True
17-129554,Commune de Saint Leu,None,,"service commande publique, à l'att.de M.le Maire",FRY40,58 rue du Général Lambert,97436,SAINT-LEU,RE,(+33) 2-62-34-66-70,,(+33) 2-62-49-87-24,commandepublique@mairie-saintleu.fr,http://www.achatpublic.com,http://www.achatpublic.com,,http://www.achatpublic.com,http://www.achatpublic.com,,False,True,,False,True
17-132455,Montpellier Méditerranée Métropole,24340001700022,,,FRJ13,Hôtel de Ville de MontpellierDirection des Affaires Juridiques et de la Commande PubliqueDirection Adjointe de la Commande Publique1 place Georges Frêche,34267,Montpellier Cedex 2,,(+33) 4-67-13-64-84,,,marches-publics@montpellier3m.fr,http://www.montpellier3m.fr,https://www.marches.montpellier3m.fr,,https://www.marches.montpellier3m.fr,https://www.marches.montpellier3m.fr,,False,True,,False,True
17-146230,ZCN AMENAGEMENT,800827842,,Bouillard Gentils Aurélie,FR,Parc d'Affaires TGV 1 Rue René Cassin,51430,BEZANNES,,(+33) 3-51-00-50-50,,,a.bouillard-gentils@frey.fr,http://www.frey.fr,,,,http://www.a.bouillard-gentils@frey.fr,,False,True,,False,True
17-152495,Syndicat mixte des Gorges du Gardon,None,ROBIN-LEVY Catherine,,,place du 8 mai 1945,30000,Nîmes,,,,,,,,,,,,False,False,,False,False
17-155149,Ville de Montpellier,None,Monsieur le Maire,,,1 place Georges Frêche Montpellier Cedex 2,34267,Montpellier,,04-67-34-87-63,,04-99-06-06-95,commandepublique@ville-montpellier.fr,http://www.montpellier.fr,https://marches.montpellier3m.fr,,,,,False,False,,False,False
17-157525,S.E.M.E.C,"38315023200015,",,Service des marchés - Téléphone : (+33) 4 92 99 31 41,FRL03,"Société dÉconomie Mixte pour les Événements Cannois (Palais des Festivals et des Congrès),La Croisette,CS 30051",06414,Cannes Cedex,,(+33) 4-93-39-01-01,,(+33) 4-93-99-37-34,westphal@palaisdesfestivals.com,http://www.palaisdesfestivals.com,https://www.marches-securises.fr,,https://www.marches-securises.fr,https://www.marches-securises.fr,,False,True,,False,True
17-161477,Métropole Nice Côte d'Azur,None,M. le Président de la Métropole Nice Côte d'Azur,,,5 rue de l'hôtel de ville,06364,Nice cedex 4,,04-89-98-10-00,,04-89-98-10-33,dao@nicecotedazur.org,http://www.e-marches06.fr,,,,,,False,False,,False,False
17-165661,Ville de La Seyne sur Mer,None,"Carol GRANDI, Responsable du Service Achats",,,20 quai saturnin fabreCS 60226,83507,La seyne sur mer,,04-94-06-94-60,,04-94-10-66-91,,,http://www.marches-securises.fr,,,,,False,False,,False,False
17-166606,Cté de Cnes de Miribel et du Plateau,None,Monsieur le Président,,,1820 grande rue,01700,miribel,,04-78-55-52-18,,,,,http://www.eu-supply.com/miribel.asp,,,,,False,False,,False,False
17-170359,Montpellier Méditerranée Métropole,None,Monsieur le Président,,,"Immeuble La Coupole50, Place ZeusCS 39556",34961,Montpellier Cedex 2,,(+33)4-67-13-60-00,,(+33)4-67-13-60-01,,http://www.montpellier3m.fr,https://marches.montpellier3m.fr,,,,,False,False,,False,False
17-172629,communauté agglo albigeois,None,,,FRJ27,Parc François Mitterrand,81160,Saint-Juéry,,(+33) -05-63-76-06-06,,(+33) -05-63-45-72-45,marchespublics@grand-albigeois.fr,http://www.grand-albigeois.fr,https://www.marches-securises.fr,,,,,False,True,,False,True
17-173672,APIJ,None,,,FRE11,30 rue du château des rentiers,75013,Paris,,,,,equipe9@apij-justice.fr,http://www.apij.justice.fr/,https://www.achatpublic.com/,,,https://www.achatpublic.com/,,False,True,,False,True
