BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
10-75450,MAIRIE DE NOGARO,None,PEYRET Christian,,,1 place de la mairie,32110,Nogaro,,,,,,,,,,,,False,False,,False,False
14-28316,Var Aménagement Développement,None,Monsieur le Directeur Général,,,Tour l'AlbatrosAvenue d'EntrecasteauxBP 1406,83056,Toulon Cedex,,04-94-03-95-95,,04-94-03-95-75,vad@vad83.eu,http://www.var-amenagement-developpement.fr,http://achatpublic.fr,,,,,False,False,,False,False
17-11288,Cté de communes OSARTIS MARQUION,None,M. le Président de la communauté de Communes Osartis Marquion,,,ZA - Rue Jean Monnet,62490,Vitry-en-Artois,,03-21-60-06-00,,,administration@cc-osartis.com,http://www.cc-osartis.com,http://www.cc-osartis.com/marches/index.aspx,,,,,False,False,,False,False
17-142203,CCAS de Saint-Amand-Les-Eaux,None,M. le president,,,65 grand placecs 30209,59734,saint amand les eaux cedex,,03-27-09-08-40,,03-27-09-08-59,,,,,,,,False,False,,False,False
17-181799,C.N.R.S.,None,Service Financier et Comptable Secteur Achats et Marchés Publics,,,3 rue Michel-Ange,75794,Paris Cedex 16,,,,,,,,,,,,False,False,,False,False
17-53645,Ville d'Arras,None,Monsieur le Maire,,,6 place Guy MolletBP 70913,62022,Arras,,03-21-50-69-31,,03-21-50-51-38,s-marches@ville-arras.fr,http://arras.fr,http://arras.fr,,,,,False,False,,False,False
17-63965,Commune Saint Martindu Tertre,None,Pinel Xavier,,,Place Louis Desenclos,95270,Saint-Martin-du-Tertre,,01-34-09-15-05,,,dgssmt@wanadoo.fr,https://www.achat-national.com,,,,,,False,False,,False,False
17-74755,DIR REG DEP JEUNESSE SPORTS COHESION S,None,Alexis Monterrat,,,10 Boulevard Carnot,21000,Dijon,,,,,,,,,,,,False,False,,False,False
18-100564,Cté d'Agglo Valenciennes Métropole,None,,Caroline Marchant,FRE11,2 Place de lHôpital général  CS 227,59305,Valenciennes,,,,,cmarchant@valenciennes-metropole.fr,http://www.valenciennes-metropole.fr,https://marches.rvvn.org/,,,,,False,False,,False,False
18-103928,Métropole de Lyon,None,,M.Président de la Métropole de Lyon,FRK26,Direction du Patrimoine et des Moyens Généraux - Services Ressources - Unité Procédures - Achats - Marchés - CS 33569,69505,Lyon cedex 03,,(+33) 4-78-63-40-40,,(+33) 4-26-99-30-45,dpmg.marches@grandlyon.com,http://grandlyon.com,http://marchespublics.grandlyon.com,,http://marchespublics.grandlyon.com,http://marchespublics.grandlyon.com,,False,True,,False,True
18-104305,GHR Mulhouse Sud Alsace,None,,pôle Pharmaceutique,FRF12,87 avenue d'altkirch,68051,Mulhouse Cedex,,(+33) 3-89-64-61-01,,(+33) 3-89-64-61-19,marches-publics@ghrmsa.fr,http://www.ghrmsa.fr,https://marchespublics-ch-mulhouse.omnikles.com,,,,,False,True,,False,True
18-105256,COMMUNE DE LANCON PROVENCE,None,Moulfi Abdel,,,hôtel de ville- Place du Champ de Mars,13680,Lançon-Provence,,04-90-42-98-10,,,mairie@lancon-provence.fr,http://lancon-provence.marcoweb.fr,http://lancon-provence.marcoweb.fr,,,,,False,False,,False,False
18-107863,DILA,None,,Nathalie PIVERT,FR,26 rue Desaix,75727,Paris Cedex 15,,,,,nathalie.pivert@dila.gouv.fr,http://www.dila.premier-ministre.gouv.fr,http://www.marches-publics.gouv.fr,,,,,False,True,,False,True
18-111071,Ville de Méricourt,None,Monsieur Le Maire,,,Hôtel de ville place jean jaurès,62680,Méricourt,,03-21-69-92-92,,03-21-40-08-96,marchespublics@mairie-mericourt.fr,http://mairie-mericourt.fr,http://mericourt.synapse-entreprises.com,,,,,False,False,,False,False
18-111104,Mairie de Bordeaux,None,,Bordeaux Métropole Service contrats complexes,FRI12,"4, rue Claude Bonnier",33043,Bordeaux,,,,,contratscomplexes@bordeaux-metropole.fr,http://www.bordeaux.fr,https://demat-ampa.fr,,,,,False,False,,False,False
18-113159,Vendée Eau,None,,,FRG05,57 rue Paul Emile Victor - ZAC Bell - CS 90041,85036,La Roche Sur Yon Cédex,,,,,vendee-eau@vendee-eau.fr,http://www.vendee-eau.fr,,,,,,False,True,,False,True
18-114766,SETOM,None,Monsieur le Président du SETOM,,,VC 6 Lieu-dit Saint LaurentBP 110Guichainville,27091,Evreux Cedex 9,,,,,marches@setom.fr,,https://marchespublics.eure.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=4471&orgAcronyme=b2q,,,,,False,False,,False,False
18-115186,Département du Finistère,None,,Mickaël ROBERT,FRH02,32 boulevard DupleixCS29029,29196,Quimper cedex,,(+33) 2-98-76-66-00,,(+33) 2-98-76-21-28,marche-dsi@finistere.fr,https://www.finistere.fr/,http://www.e-megalisbretagne.org,,http://www.e-megalisbretagne.org,http://www.e-megalisbretagne.org,,False,True,,False,True
18-115459,Conseil Départemental de l'Oise,None,Madame la Présidente du Conseil départemental,,,Direction générale adjointe finances et modernisationDirection de la commande publique 224 bis avenue Marcel Dassault,60000,Beauvais,,03-44-06-60-60,,,ld-commandepublique-sec@oise.fr,http://www.oise.fr,https://www.marches-securises.fr/perso/cg60/,,,,,False,False,,False,False
18-115824,Ville d'Arras,None,Monsieur le Maire,,,Direction de la Commande publique6 place Guy Mollet,62022,Arras,,03-21-50-69-31,,,s-marches@ville-arras.fr,http://arras.fr,http://arras.fr,,,,,False,False,,False,False
18-115863,Ville d'Arras,None,Monsieur le Maire,,,Direction de la Commande Publique,62022,Arras,,03-21-50-69-31,,,s-marches@ville-arras.fr,http://arras.fr,http://arras.fr,,,,,False,False,,False,False
18-116004,Ville d'Arras,None,,,FRE12,6 place Guy Mollet BP70913,None,Arras,,(+33) 3-21-50-69-31,,,s-marches@ville-arras.fr,http://arras.fr,http://arras.fr,,,,,True,False,,False,True
18-116026,COMMUNE DE NANTES,None,,,FRG01,2 rue de l'Hôtel de Ville,44094,Nantes cedex 1,,,,,laure.talguen@nantesmetropole.fr,https://marchespublics.nantesmetropole.fr,,,https://marchespublics.nantesmetropole.fr,https://marchespublics.nantesmetropole.fr,,False,True,,False,True
