BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
16-105641,UGECAM Ile de France,None,"Mme DULAURIER, Directrice de l'U.G.E.C.A.M Ile-de-France",,,12 Villa LourcineRue Cabanis,75014,Paris,,,,,,,,,,,,False,False,,False,False
16-116861,Préfecture de Police,None,,,FR101,"9, boulevard du Palais",75195,Paris cedex 04,,(+33) 1-70-22-25-78,,(+33) 1-70-22-25-50,prefpol.marchespublics-scp@interieur.gouv.fr,http://www.prefecturedepolice.interieur.gouv.fr/,https://m13.paris.fr/,,,,,False,True,,False,True
16-133569,Département de Seine Maritime,None,M. le Président du Département de Seine Maritime,,,Quai Jean Moulin,76101,Rouen cedex,,,,02-35-03-55-42,,http://www.seinemaritime.fr,http://www.mpe76.fr,,,,,False,False,,False,False
16-134901,COMMUNE DE SUZETTE,None,,"Le Village, 84190, Suzette.",FRL06,"Le Village, 84190, Suzette.",None,Suzette,,,,,suzette.mairie@gmail.com,http://www.suzette-mairie.fr,http://www.suzette-mairie.fr,,,http://www.suzette-mairie.fr,,False,False,,False,False
17-103453,Eaux de Vienne - SIVEER,None,ingenierie@eauxdevienne.fr,,,55 rue de Bonneuil Matours,86000,Poitiers,,05-49-61-67-36,,05-49-61-67-36,ingenierie@eauxdevienne.fr,http://www.eauxdevienne.fr,http://www.marches-securises.fr,,,,,False,False,,False,False
17-103886,Dijon Métropole,None,,,FRC11,40 avenue du Drapeau,21000,Dijon cedex,,(+33) 3-80-74-51-72,,(+33) 3-80-74-52-82,marches-publics@ville-dijon.fr,http://www.metropole-dijon.fr,http://www.achatpublic.com,,http://www.achatpublic.com,http://www.achatpublic.com,,False,False,,False,False
17-109720,Ville de Saint-Laurent-du-Var,None,,Julien MAURICE,FRL03,"222 esplanade du Levant, Point(s) de contact :",06700,Saint-Laurent-du-Var,,(+33) 4-92-12-41-50,,,commande.publique@saintlaurentduvar.fr,http://www.saintlaurentduvar.fr,http://www.marches-securises.fr,,,http://www.marches-securises.fr,,False,True,,False,True
17-110354,Métropole Nice côte d'azur,None,,,FRL03,5 rue de l'Hôtel de ville,06364,Nice cedex 4,,(+33) 4-89-98-10-00,,,dao@nicecotedazur.org,http://www.e-marches06.fr,,,,,,False,True,,False,True
17-110839,DSNA,None,M. le directeur de la DTI,,,"1 avenue du docteur Maurice Grynfogel, B.P. 53584",31035,Toulouse cedex 1,,,,05-62-14-52-94,frederic.darmaillacq@aviation-civile.gouv.fr,http://www.marches-publics.gouv.fr,,,,,,False,False,,False,False
17-111263,Centre national du cinéma,None,,Département achats et marchés,FR101,12 rue de Lübeck,75784,Paris cedex 16,,(+33) -01-44-34-37-74,,,marchespublics@cnc.fr,http://www.cnc.fr,http://marchespublics-cnc.omnikles.com,,,,,False,True,,False,True
17-111294,Communauté Urbaine d'Alençon,None,,,FRD13,18 Rue de Bretagne - CS 50362,61014,Alençon cedex,,(+33) 2-33-32-40-78,,,scp@ville-alencon.fr,http://www.communaute-urbaine-alencon.fr,http://marches.local-trust.com/cu-alencon,,,,,False,True,,False,True
17-114395,Département de Seine Maritime,None,M. le Président du Département de Seine Maritime,,,Quai Jean Moulin,76101,Rouen cedex,,,,02-35-03-55-42,,http://www.seinemaritime.net,http://www.mpe76.fr,,,,,False,False,,False,False
17-116626,S.P.L Midi-Pyrénées Construction,None,,"SPL Midi-Pyrénées Construction, A lattention de Christophe ROQUES",FRJ23,"Mandataire agissant au nom et pour le compte de la région Occitanie, 11 avenue Parmentier, Central Parc 2, 4ème étage, BP 22414",31086,Toulouse Cedex,,(+33) 5-62-72-71-08,,(+33) 5-61-57-23-13,christophe.roques@cogemip.fr,http://www.laregion.fr,http://splmpc.achatpublic.com,,,,,False,True,,False,True
17-116631,S.I.A.V.E.D.,None,,,FRE1,5 route de Lourches,59282,Douchy les Mines,,(+33) 3-27-43-78-99,,,infos@siaved.fr,http://www.siaved.fr,,,,,,False,True,,False,True
17-117976,Ministère de la Justice,None,M.le Directeur du SEP -RIEP,,,SEP RIEP11 rue Louisa Paulin,19000,Tulle,,05-55-29-99-22,,05-55-29-99-49,,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
17-118890,Communauté d'Agglomération Espace Sud,None,Monsieur le Président,,,Lot. Frangipaniers,97228,Sainte-Luce,MQ,05-96-62-53-53,,05-96-62-56-01,marches-publics@espacesud.fr,,https://www.marches-securises.fr,,,,,False,False,,False,False
17-119602,SA Aéroport de Bordeaux Mérignac,None,,Service Achats Cidex 040,FRI12,,33700,Mérignac,,(+33) 5-56-34-50-22,,,achats-marches@bordeaux.aeroport.fr,http://www.bordeaux.aeroport.fr/fr/info/fournisseurs,,,,http://achats-marches@bordeaux.aeroport.fr,,False,True,,False,True
17-120260,Université de Haute Alsace,19681166500013,,Mme Madeleine BALBIN,FR,"2, rue des Frères Lumière",68093,MULHOUSE,,,,,marches.dgpi@uha.fr,http://www.uha;fr,http://www.marches-publics.gouv.fr,,,http://www.marches-publics.gouv.fr,,False,True,,False,True
17-120716,Bordeaux Métropole,None,M. le Président de Bordeaux Métropole,,,esplanade Chales de Gaulle,33045,Bordeaux,,05-33-89-35-78,3578,,lmartinois@bordeaux-metropole.fr,http://www.bordeaux-metropole.fr/,https://demat-ampa.fr,,,,,False,False,,False,False
