BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
16-145436,Var Aménagement Développement,None,,,FRL,tour L'albatros avenue d'Entrecasteaux,83056,Toulon,,,,,vad83@vad83.eu,http://www.var-amenagement-developpement.fr,http://www.achatpublic.fr,,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2018_LH_o1qjZ4D,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2018_LH_o1qjZ4D,,False,True,,False,True
16-146870,COLLECTIVITE TERRITORIALE MARTINIQUE,None,,,FRY20,"rue Gaston Defferre, CS 30137Fort-",97201,Fort-de-France,,(+33) -05-96-59-63-00,,(+33) -05-96-72-68-10,courrier@collectivitedemartinique.mq,http://www.collectivitedemartinique.mq,https://collectiviteterritorialedemartinique.achatpublic.com,,https://collectiviteterritorialedemartinique.achatpublic.com,https://collectiviteterritorialedemartinique.achatpublic.com,,False,True,,False,True
17-144287,Grpt de cdes des pays de St malo,None,,,FR,lycée jacques cartierCS 51811,35418,Saint Malo cedex,,(+33) 2-99-82-87-00,,,melanie.allee@ac-rennes.fr,http://www.lyceejacquescartier.fr/,https://marches.megalisbretagne.org,,https://marches.megalisbretagne.org,https://marches.megalisbretagne.org,,False,True,,False,True
17-157025,COM DE COMMUNES DU MONT DES AVALOIRS,20004218200010,,,FR,1 rue de la corniche de pail - Pré-en-Pail,53140,PRE EN PAIL SAINT SAMSON,,(+33) 2-43-30-11-11,,,marchespublics@cc-montdesavaloirs.fr,http://www.cc-montdesavaloirs.fr,http://www.centraledesmarches.com/,,,,,False,True,,False,True
17-183474,COLLECTIVITE TERRITORIALE MARTINIQUE,None,,,FRY20,Rue Gaston DefferreCluny CS 30137,97201,FORT-DE-FRANCE,,,,,courrier@collectivitedemartinique.mq,http://www.collectivitedemartinique.mq/,https://collectiviteterritorialedemartinique.achatpublic.com,,,,,False,False,,False,False
17-27884,Cté de Cnes du Pays de Montfort,None,M. Le Président,,,"Montfort Communauté, 4 place du Tribunal, CS 30150,",35162,Montfort sur Meu cedex,,02-99-09-88-10,,02-99-09-88-16,commandepublique@montfortcommunaute.bzh,http://www.montfortcommunaute.bzh,http://www.megalisbretagne.org,,,,,False,False,,False,False
17-83784,COMMUNE D AULNAY,None,Bellaud Charles,,,"4, Place Ch. De Gaulle",17470,Aulnay (17),,05-46-33-10-02,,,secretariat@aulnay-de-saintonge.fr,,http://marches-securises.fr,,,,,False,False,,False,False
17-87192,OPH Plaine Commune Habitat,None,,Pôle commande publique,FR106,5 bis rue Danielle CASANOVA,93200,Saint-Denis,,(+33) 1-48-13-61-00,,(+33) 1-48-13-61-03,directioncommandepubliqueetjuridique@plainecommunehabitat.fr,http://www.oph-plainecommunehabitat.fr,http://www.maximilien.fr,,http://www.maximilien.fr,http://www.maximilien.fr,,False,True,,False,True
17-91734,DSNA,None,,,FR,1 avenue du docteur Maurice Grynfogel,31035,Toulouse,,(+33) 5-62-14-52-00,,(+33) 5-62-14-52-94,sabine.rospide@aviation-civile.gouv.fr,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,,,,False,True,,False,True
18-100249,DSNA,None,Mme Isabelle Soulé Lasserre,,,DTI 1 avenue du docteur maurice grynfogel bp 53584,31035,Toulouse cedex,,,,,,,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
18-100297,Ville de Montpellier,None,,Service de la commande publique,FRJ13,1 place Georges Frêche,None,Montpellier cedex 2,,(+33) -04-67-34-87-63,,(+33) -04-99-06-06-85,commandepublique@ville-montpellier.fr,https://www.montpellier.fr,https://marches.montpellier3m.fr,,,,,False,True,,False,True
18-100330,COMMUNE DE VIOLAINES,None,M. le Maire,,,Place du Général de Gaulle,62138,Violaines,,03-20-29-81-26,,03-20-49-75-78,,,,,,,,False,False,,False,False
